id;name;street_address;city
1;Checking Account;Albania Checking Account portals;Kihntown
2;Grocery;Communications Colombia;Trestad
3;Checking Account Gorgeous Steel Bike;Organic visualize;Jeromechester
4;Movies hack Ghana;input calculating Squares;Ernserville
5;plug-and-play;revolutionize;Port Saraibury
6;attitude-oriented payment;Rustic Fresh Sausages Chips Montana;Roslynborough
7;bypass Response Executive;Cloned;Quintonchester
8;Cuban Peso Peso Convertible Directives Handmade Fresh Shirt;Movies;West Lisettefurt
9;ivory;withdrawal olive Cambridgeshire;Hartmannshire
10;Soft Mouse;Computer vortals Brand;Lake Babyville
